# SYNTHETIC data — generated by scripts/make_synthetic.py for project 16.01
# regenerate: python make_synthetic.py --n 500 --seed 42
# a synthetic docking-under-current commanded-wrench trajectory, 10 Hz
# columns: t_s (s), Fx_N,Fy_N,Fz_N (N, body frame), Mx_Nm,My_Nm,Mz_Nm (N*m, body frame)
# body frame: x-forward, y-starboard, z-down (Fossen/SNAME marine convention)
t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
36.90,-4.542649,-3.312448,2.171210,0.621164,0.525733,-2.179436
37.00,-4.340487,-3.449330,1.759908,0.351061,0.064485,-2.366332
37.10,-4.074063,-2.991672,1.997794,0.402370,-0.170670,-2.146052
37.20,-3.975681,-2.826605,1.758208,0.382044,0.102965,-2.111695
37.30,-3.785050,-2.505798,2.329021,0.976753,0.390822,-2.327842
37.40,-3.284597,-3.248544,1.714298,0.492769,-0.110443,-2.059082
37.50,-3.035266,-2.881778,1.478761,0.251700,0.079987,-1.863464
37.60,-2.649957,-3.147277,1.496809,0.304303,0.788998,-2.149430
37.70,-2.408227,-2.513768,1.706704,0.333316,0.662092,-1.613705
37.80,-1.837017,-3.154961,1.684487,0.944085,0.053568,-2.149019
37.90,-1.628566,-2.293837,1.641266,0.689284,0.349475,-1.875742
38.00,-2.132585,-2.856239,2.151652,0.384079,-0.022246,-1.874629
38.10,-1.565505,-2.654672,2.001558,0.537363,0.821910,-1.962167
38.20,-1.233808,-2.728147,1.595217,0.675526,0.692546,-1.611904
38.30,-1.320036,-2.631916,1.920622,0.219453,0.536549,-1.674571
38.40,-0.730475,-3.020208,2.260751,0.450730,0.282625,-1.863931
38.50,-0.393684,-2.363781,1.795832,0.755609,0.244905,-1.454283
38.60,-0.576582,-2.377012,1.318682,0.726575,0.546154,-1.972538
38.70,-0.271486,-2.929009,2.198206,0.627175,0.290962,-1.551165
38.80,0.235999,-2.499401,1.205434,0.199884,0.404427,-1.759909
38.90,0.032735,-2.309638,1.620351,0.323096,0.668111,-1.663554
39.00,0.127237,-2.493416,1.178226,0.026713,0.313372,-1.262453
39.10,-0.090472,-1.849741,1.273842,0.223657,0.353964,-1.987972
39.20,0.434775,-2.264841,1.548257,0.597547,0.218383,-1.863879
39.30,0.911760,-2.575089,1.936623,0.537201,0.577060,-1.967762
39.40,1.226232,-2.394049,1.238683,0.037261,0.459822,-1.140322
39.50,0.605736,-2.179352,1.224914,0.504963,0.331766,-2.034983
39.60,1.110154,-2.332196,1.608350,0.240161,0.603631,-1.822531
39.70,1.361049,-1.664629,1.053856,-0.060582,0.769745,-1.804274
39.80,1.037853,-1.958401,1.228262,0.686165,0.423958,-1.313852
39.90,1.402476,-1.746025,1.527009,0.156854,0.739847,-1.296162
40.00,1.703462,-1.591555,1.211032,0.408377,-0.023221,-1.739012
40.10,1.082536,-1.931237,1.069713,0.471874,0.400162,-1.413058
40.20,1.168440,-1.790884,1.045011,0.398089,0.579696,-1.143310
40.30,2.087592,-1.556601,1.321005,-0.113340,0.197388,-1.293813
40.40,1.189974,-1.688375,0.812580,-0.133675,0.694191,-0.736233
40.50,1.682408,-1.487369,1.458863,0.128520,0.714660,-1.165651
40.60,1.292621,-1.885465,1.505940,-0.012223,0.145045,-1.070108
40.70,1.403996,-1.392098,1.457676,0.444125,0.414976,-1.446986
40.80,1.369212,-1.006547,1.508284,0.027334,0.682559,-1.470219
40.90,1.987154,-1.166738,1.644198,-0.255074,0.684361,-0.711309
41.00,1.573600,-0.644444,1.073167,-0.027078,0.665011,-0.973639
41.10,2.272747,-0.798067,0.828993,0.416706,0.429855,-1.011403
41.20,1.988278,-0.870193,0.726254,-0.273254,0.041863,-1.103727
41.30,1.332129,-1.080779,0.809205,0.107664,0.151877,-0.554604
41.40,1.554556,-1.092294,1.353619,0.535669,0.500180,-1.110814
41.50,2.218352,-0.501446,1.381500,0.523881,0.680268,-1.025968
41.60,2.110626,-0.964462,1.140913,0.341047,0.566725,-0.422917
41.70,1.722288,-0.563265,0.664692,-0.092058,0.248973,-0.411339
41.80,2.101250,-0.973742,0.877727,-0.246896,0.724754,-0.621277
41.90,2.160375,-0.665337,0.330419,0.230210,0.512294,-0.204404
42.00,1.658935,-0.253960,0.651706,-0.499336,0.304871,-0.662147
42.10,1.622513,-0.631465,0.527276,0.247025,0.098811,-0.246380
42.20,1.754036,-0.282976,0.567465,0.082697,-0.200184,-0.668817
42.30,1.970038,-0.233559,0.312692,0.239402,0.182797,-0.711578
42.40,2.146219,-0.415527,0.841531,-0.504563,0.381373,-0.496970
42.50,2.127252,-0.268457,0.771780,-0.404119,0.092856,0.304284
42.60,1.371159,-0.070739,0.386735,0.027120,-0.055425,0.112480
42.70,1.925633,-0.390619,0.521859,-0.557190,-0.074167,0.193523
42.80,1.253087,0.379199,0.825794,0.280967,0.110970,-0.297751
42.90,1.342375,0.141863,0.702901,-0.621764,-0.009164,0.507542
43.00,1.442566,0.607281,0.688580,-0.607731,0.659077,-0.174217
43.10,1.876182,-0.082888,0.548573,-0.317120,0.377057,0.367241
43.20,1.543772,0.394906,0.548107,0.086765,-0.270350,-0.104334
43.30,2.198137,0.647023,0.208433,0.174462,-0.054340,-0.009165
43.40,1.782538,0.215599,0.340542,-0.203957,0.226815,0.685498
43.50,2.262467,1.052745,0.408194,-0.517063,0.124919,0.471249
43.60,2.392686,0.573452,-0.233089,0.064907,0.549684,0.511443
43.70,1.836699,0.850059,0.268750,-0.318540,0.560458,1.057854
43.80,2.743018,0.554488,0.498051,-0.291774,-0.064160,0.807874
43.90,2.662690,1.448404,0.369972,-0.856281,-0.374443,0.440577
44.00,2.036039,0.625238,0.351227,-0.378646,0.174135,0.732359
44.10,2.512861,1.336726,-0.393325,-0.360430,0.149107,0.561111
44.20,2.513055,1.215649,-0.310254,-0.100110,0.056912,0.726082
44.30,2.947147,1.607539,0.129911,-0.852649,0.206640,1.116348
44.40,3.272448,0.898783,-0.502608,-0.494280,-0.051230,1.045552
44.50,2.851208,1.649587,0.114194,-0.818710,0.190738,1.187801
44.60,2.823850,1.927038,-0.141058,-0.163934,0.191058,0.702058
44.70,2.906521,1.820343,-0.432840,-0.068638,0.229208,0.612417
44.80,3.707028,1.375424,-0.675201,-0.250215,0.021956,0.707231
44.90,3.475456,1.526779,-0.276847,-0.402481,-0.199427,0.931474
45.00,3.242742,1.802727,-0.090965,-0.747124,-0.070643,0.765652
45.10,4.120798,1.534434,-0.379153,-0.598034,-0.441658,1.697054
45.20,4.231043,1.902684,0.025980,-0.245150,-0.184557,1.130964
45.30,3.902354,2.128875,-0.653621,-0.912040,-0.243200,1.353424
45.40,4.496622,1.645495,-0.157302,-0.011929,0.326104,0.961451
45.50,4.163601,1.804778,-0.153391,-0.668756,-0.086724,0.940522
45.60,3.997452,2.141322,-0.730748,-0.375349,-0.187592,1.563126
45.70,4.382088,2.403860,-0.875464,-0.098925,0.097410,1.254269
45.80,3.979963,2.093668,-0.873916,-0.653537,0.165110,1.922841
45.90,5.001615,1.736100,-0.485422,-0.150836,0.041531,1.184856
46.00,4.648957,2.022400,-0.686280,-0.939118,0.300238,1.826560
46.10,4.271499,2.753659,-0.316363,-0.477716,-0.006717,1.520109
46.20,5.202541,1.963965,-1.153162,-0.861717,0.101761,1.253841
46.30,4.834924,2.359222,-0.319344,-0.755510,-0.467633,1.524070
46.40,5.096105,2.668609,-0.582753,-0.670576,-0.466866,1.312433
46.50,4.514772,2.789907,-0.767651,-0.828881,-0.584408,1.731096
46.60,4.723504,2.586395,-0.421675,-0.771625,-0.450191,1.555933
46.70,4.429631,2.246976,-0.733891,-0.147162,-0.071081,1.355707
46.80,5.125857,2.454408,-1.362042,-0.718946,-0.421412,1.851839
46.90,4.934578,2.422377,-0.495548,-0.929034,-0.381686,1.812112
47.00,4.960007,2.445976,-1.056801,-0.148517,-0.654925,1.391913
47.10,4.983800,3.210902,-1.420387,-0.120395,-0.430828,2.028796
47.20,4.726539,2.841146,-1.324166,-0.122345,-0.789318,1.479996
47.30,4.899734,2.730998,-1.485695,-0.020419,0.010495,1.762567
47.40,3.942376,2.775546,-1.477601,-0.341414,-0.004605,1.839966
47.50,3.818832,3.022971,-1.503479,-0.689792,-0.646246,1.737217
47.60,4.549910,2.397820,-1.087389,-0.647359,-0.545069,1.880185
47.70,4.082085,2.445754,-1.456639,-0.743985,-0.647159,2.362102
47.80,3.910268,3.035312,-0.963658,-0.073910,0.136687,2.267042
47.90,3.585206,2.967023,-1.310107,0.056909,-0.356075,1.879597
48.00,3.236632,2.757485,-1.604267,0.053491,-0.085328,1.554304
48.10,3.868711,2.982285,-1.084476,0.171313,0.105075,1.598750
48.20,3.344660,2.731761,-1.062584,0.103414,-0.817671,2.496312
48.30,2.708744,3.322246,-1.108539,-0.444148,-0.038664,2.344847
48.40,2.458604,3.076889,-1.126281,-0.086008,0.032161,1.525940
48.50,2.768629,3.438672,-1.394937,-0.204805,-0.697142,2.482250
48.60,2.728453,2.988194,-1.675024,-0.261375,-0.798295,1.721784
48.70,1.838420,3.025377,-2.008400,0.182544,-0.689880,1.612976
48.80,2.104224,3.418777,-1.189270,-0.394969,-0.871838,2.060838
48.90,2.067968,3.273535,-1.210999,0.159216,0.064790,1.837983
49.00,1.852814,2.892043,-1.979820,-0.382297,-0.760945,1.610489
49.10,1.617346,3.283675,-1.143001,-0.017230,-0.724429,2.408760
49.20,1.118522,3.414174,-1.338912,-0.425284,-0.310523,1.600849
49.30,0.487578,3.165438,-2.020219,0.098410,0.048867,2.358138
49.40,0.328567,3.460952,-1.203461,-0.579753,-0.297585,2.312893
49.50,0.662052,2.675421,-1.623580,0.342997,-0.758988,2.118102
49.60,-0.307671,3.422895,-2.041127,0.310207,-0.810169,2.061130
49.70,-0.143598,3.311302,-1.781663,-0.291216,-0.648225,1.397885
49.80,-0.759053,2.514969,-2.245675,-0.151726,-0.163658,2.275654
49.90,-0.359304,2.880466,-1.886286,0.027179,-0.792901,1.761060
